Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-07T20:13:36.375Z","Included","grok-code-fast-1","No","0","6311","1432959","1627","1440897","0.03"
"2025-11-07T20:08:40.938Z","Included","grok-code-fast-1","No","0","92719","714628","1448","808795","0.04"
"2025-11-07T20:05:33.425Z","Included","grok-code-fast-1","No","0","61748","7651","298","69697","0.01"
"2025-11-07T19:48:22.995Z","Included","grok-code-fast-1","No","0","134124","1709941","4047","1848112","0.07"
"2025-11-07T19:46:13.067Z","Included","grok-code-fast-1","No","0","617324","9502208","16726","10136258","0.36"
"2025-11-07T19:43:41.991Z","Included","grok-code-fast-1","No","0","122636","1090415","3625","1216676","0.05"
"2025-11-07T19:41:58.687Z","Included","grok-code-fast-1","No","0","3761","114456","113","118330","0.003"
"2025-11-07T19:37:18.933Z","Included","grok-code-fast-1","No","0","44798","1692257","5998","1743053","0.05"
"2025-11-07T19:35:16.644Z","Included","grok-code-fast-1","No","0","163230","2103253","2111","2268594","0.08"
"2025-11-07T19:34:22.201Z","Included","grok-code-fast-1","No","0","7944","1408354","3889","1420187","0.04"
"2025-11-07T19:31:30.089Z","Included","grok-code-fast-1","No","0","159906","363484","385","523775","0.04"
"2025-11-07T19:30:12.714Z","Included","grok-code-fast-1","No","0","296353","330276","462","627091","0.07"
"2025-11-07T19:29:04.542Z","Included","grok-code-fast-1","No","0","79988","428506","877","509371","0.03"
"2025-11-07T19:28:43.135Z","Included","grok-code-fast-1","No","0","933","155497","111","156541","0.004"
"2025-11-07T19:28:08.824Z","Included","grok-code-fast-1","No","0","4311","328960","320","333591","0.01"
"2025-11-07T19:26:56.041Z","Included","grok-code-fast-1","No","0","11435","298683","260","310378","0.01"
"2025-11-07T19:24:37.002Z","Included","grok-code-fast-1","No","0","8602","3091795","2041","3102438","0.07"
"2025-11-07T19:21:35.919Z","Included","grok-code-fast-1","No","0","16647","1661505","10041","1688193","0.05"
"2025-11-07T19:21:00.487Z","Included","grok-code-fast-1","No","0","4714","1121213","1113","1127040","0.03"
"2025-11-07T19:19:56.351Z","Included","grok-code-fast-1","No","0","47155","325463","574","373192","0.02"
"2025-11-07T19:15:03.885Z","Included","grok-code-fast-1","No","0","160869","2085922","2800","2249591","0.08"
"2025-11-07T19:15:00.040Z","Included","grok-code-fast-1","No","0","0","0","0","0","0.00"
"2025-11-07T19:13:17.665Z","Included","grok-code-fast-1","No","0","15743","2686073","4343","2706159","0.06"
"2025-11-07T18:58:40.153Z","Included","grok-code-fast-1","No","0","3941","327415","252","331608","0.01"
"2025-11-07T18:54:49.292Z","Included","grok-code-fast-1","No","0","1381","109045","139","110565","0.003"
"2025-11-07T18:54:09.747Z","Included","grok-code-fast-1","No","0","101795","225649","962","328406","0.03"
"2025-11-07T18:46:48.585Z","On-Demand","composer-1","No","0","13348","214215","1205","228768","0.07"
